family,file,p,resid_p,delta,resid_delta
Contrastive,sweep2d_gemma_L2_Certainty__Java_fineweb_60deg.pkl,2.2458407899553006,0.0072830259181693065,-0.06889400329252701,0.0070012696034124
Contrastive,sweep2d_gemma_L2_Certainty__Lisp_fineweb_60deg.pkl,2.251189975073497,0.011941774561727679,-0.07405412751463633,0.012019187272063627
Contrastive,sweep2d_gemma_L2_Certainty__Literary_fineweb_60deg.pkl,2.210808098513996,0.004420569104372435,-0.05931105069698918,0.004859628997520594
Contrastive,sweep2d_gemma_L2_Certainty__Number_fineweb_60deg.pkl,1.861324242509105,0.013718816735570743,0.04451464670051977,0.014638237937184854
Contrastive,sweep2d_gemma_L2_Certainty__Person_fineweb_60deg.pkl,1.9784172725404108,0.0026001231928184983,0.007611540385905954,0.002372390127485096
Contrastive,sweep2d_gemma_L2_Certainty__Portuguese_fineweb_60deg.pkl,2.0079309146718702,0.021495234565240964,-0.007527960762898284,0.021650191029169614
Contrastive,sweep2d_gemma_L2_Certainty__Python_fineweb_60deg.pkl,2.1911501140184555,0.012931255880002131,-0.05804625071742583,0.012902757711600078
Contrastive,sweep2d_gemma_L2_Certainty__Russian_fineweb_60deg.pkl,2.3028593464777054,0.016034399912743923,-0.08079472205766543,0.017521552741868045
Contrastive,sweep2d_gemma_L2_Certainty__Rust_fineweb_60deg.pkl,2.2208526098566277,0.006023028798584087,-0.06171577459336242,0.006182600155848261
Contrastive,sweep2d_gemma_L2_Certainty__Spanish_fineweb_60deg.pkl,1.9930198818972722,0.01882668112431114,-0.0021265572755973113,0.01889250965287953
Contrastive,sweep2d_gemma_L2_Certainty__Status_fineweb_60deg.pkl,1.8846791679118813,0.005287597907844646,0.04013902561774452,0.005141429442606023
Contrastive,sweep2d_gemma_L2_Certainty__Tense_fineweb_60deg.pkl,1.98495526040572,0.016753532266119732,-0.0008164238149088664,0.017094117299367814
Contrastive,sweep2d_gemma_L2_Certainty__TypeScript_fineweb_60deg.pkl,2.1908028894416094,0.009444031760198089,-0.055052899864752716,0.009633975844231544
Contrastive,sweep2d_gemma_L2_Era__Arabic_fineweb_60deg.pkl,3.3182545079064867,0.025540122501590653,-0.2276920549341749,0.024772367713911784
Contrastive,sweep2d_gemma_L2_Era__Chinese_fineweb_60deg.pkl,4.2119255330952665,0.01873055726357499,-0.2819308391517092,0.02367399944955011
Contrastive,sweep2d_gemma_L2_Era__Cpp_fineweb_60deg.pkl,2.0190476499732135,0.012297458941873165,-0.005663743558421454,0.012443689071936043
Contrastive,sweep2d_gemma_L2_Era__Dutch_fineweb_60deg.pkl,3.6220665630081204,0.03341750419401467,-0.2666901077675929,0.028227811078242553
Contrastive,sweep2d_gemma_L2_Era__French_fineweb_60deg.pkl,3.640013552892199,0.020108777413607736,-0.25007567537162995,0.01814313463741777
Contrastive,sweep2d_gemma_L2_Era__German_fineweb_60deg.pkl,3.402918019727476,0.03361206335435261,-0.2603494990329445,0.02724737674912646
Contrastive,sweep2d_gemma_L2_Era__Go_fineweb_60deg.pkl,2.0317747769942973,0.007374184684044243,-0.009305057464774526,0.007583147405237393
Contrastive,sweep2d_gemma_L2_Era__Haskell_fineweb_60deg.pkl,2.0708331286209973,0.004484824111433159,-0.02136049307482274,0.004963611639499153
Contrastive,sweep2d_gemma_L2_Era__Honesty_fineweb_60deg.pkl,2.0145913486254683,0.005926200923913652,-0.005463318237406052,0.005890518214160124
Contrastive,sweep2d_gemma_L2_Era__Italian_fineweb_60deg.pkl,3.225247462073818,0.03609633644528875,-0.23978102580427746,0.030793324193109938
Contrastive,sweep2d_gemma_L2_Era__Japanese_fineweb_60deg.pkl,3.4208583787029627,0.03209060106179726,-0.25351341738030386,0.027827724015431363
Contrastive,sweep2d_gemma_L2_Era__JavaScript_fineweb_60deg.pkl,2.0250919386598896,0.010795662747205932,-0.009015556752585795,0.01071142353574345
Contrastive,sweep2d_gemma_L2_Era__Java_fineweb_60deg.pkl,1.9870336423598098,0.011332015020624725,0.00363750328045206,0.011226668089383024
Contrastive,sweep2d_gemma_L2_Era__Lisp_fineweb_60deg.pkl,2.0713913638324133,0.0043913854630341555,-0.020755087127918632,0.005275464255054085
Contrastive,sweep2d_gemma_L2_Era__Literary_fineweb_60deg.pkl,2.0135234344577255,0.0036693721396137023,-0.0053164134828287595,0.0035464846469031486
Contrastive,sweep2d_gemma_L2_Era__Number_fineweb_60deg.pkl,1.6435822520115608,0.01033741923549846,0.15056701831390717,0.011124697635461393
Contrastive,sweep2d_gemma_L2_Era__Person_fineweb_60deg.pkl,2.1659405383767814,0.008548221371775857,-0.050484019587298645,0.0075967283921658905
Contrastive,sweep2d_gemma_L2_Era__Portuguese_fineweb_60deg.pkl,3.7264453050281734,0.029930482947499157,-0.27211422685071024,0.026169092619373877
Contrastive,sweep2d_gemma_L2_Era__Python_fineweb_60deg.pkl,2.047468982833351,0.007500313455351129,-0.014032989874043446,0.007859984305280312
Contrastive,sweep2d_gemma_L2_Era__Refusal_fineweb_60deg.pkl,2.0299694746101697,0.008407814400732818,-0.009628452796899908,0.008455967746821254
Contrastive,sweep2d_gemma_L2_Era__Russian_fineweb_60deg.pkl,3.338933288060831,0.02313723936536484,-0.22356448406860116,0.026002777103693208
Contrastive,sweep2d_gemma_L2_Era__Rust_fineweb_60deg.pkl,2.1836761321276756,0.005028208448336527,-0.05110326049038089,0.00684330218125182
Contrastive,sweep2d_gemma_L2_Era__Spanish_fineweb_60deg.pkl,4.221597618695672,0.02623895695311985,-0.2957239925039506,0.021768266156945573
Contrastive,sweep2d_gemma_L2_Era__Status_fineweb_60deg.pkl,2.0397281902277435,0.008888650589890908,-0.01307541095872266,0.008875191208396901
Contrastive,sweep2d_gemma_L2_Era__Tense_fineweb_60deg.pkl,1.5386841930571453,0.006984577582982441,0.21726705264691326,0.009667282673425528
Contrastive,sweep2d_gemma_L2_Era__TypeScript_fineweb_60deg.pkl,2.051242413737897,0.008317841032327866,-0.01476129513423667,0.008732747681852625
Contrastive,sweep2d_gemma_L2_Gender__Age_fineweb_60deg.pkl,2.175380333335208,0.007152063208144734,-0.04987733355662496,0.007460475755605195
Contrastive,sweep2d_gemma_L2_Gender__Arabic_fineweb_60deg.pkl,2.3823216611413534,0.011731529566332801,-0.09555903061437308,0.014440827128244346
Contrastive,sweep2d_gemma_L2_Gender__Chinese_fineweb_60deg.pkl,2.6620083728148254,0.007687084418920076,-0.14246744709916614,0.014501173274631204
Contrastive,sweep2d_gemma_L2_Gender__Cpp_fineweb_60deg.pkl,2.2959575693285235,0.0037057853370404655,-0.07801076491371818,0.005657456349879819
Contrastive,sweep2d_gemma_L2_Gender__Dutch_fineweb_60deg.pkl,2.5643627255442607,0.011384306806560369,-0.12909298141078782,0.015339865443631598
Contrastive,sweep2d_gemma_L2_Gender__Era_fineweb_60deg.pkl,2.1031632329851266,0.006417956647595739,-0.031671476607397844,0.00654580942916025
Contrastive,sweep2d_gemma_L2_Gender__French_fineweb_60deg.pkl,2.550991754662959,0.01041457941487849,-0.1259954324725153,0.014987159009363071
Contrastive,sweep2d_gemma_L2_Gender__German_fineweb_60deg.pkl,2.5299732937657207,0.011480845182103476,-0.1244421629598352,0.013937245026346516
Contrastive,sweep2d_gemma_L2_Gender__Go_fineweb_60deg.pkl,2.308812658867549,0.005113211706935203,-0.07965695295413443,0.008594538970431397
Contrastive,sweep2d_gemma_L2_Gender__Haskell_fineweb_60deg.pkl,2.365525780966113,0.007615143631098519,-0.09541227001172198,0.00648889670382557
Contrastive,sweep2d_gemma_L2_Gender__Honesty_fineweb_60deg.pkl,2.311209387081333,0.007673373086813529,-0.08203996661213009,0.008187830463049656
Contrastive,sweep2d_gemma_L2_Gender__Italian_fineweb_60deg.pkl,2.578367481095059,0.0063914143062942,-0.12953451807564312,0.012746054965787838
Contrastive,sweep2d_gemma_L2_Gender__Japanese_fineweb_60deg.pkl,2.7078998242608545,0.01094054150638441,-0.14912762884291522,0.017439772682130466
Contrastive,sweep2d_gemma_L2_Gender__JavaScript_fineweb_60deg.pkl,2.3518953515589294,0.002759042497811845,-0.09000119547804357,0.005086624254479208
Contrastive,sweep2d_gemma_L2_Gender__Java_fineweb_60deg.pkl,2.2627520914594546,0.0031137362178586224,-0.07110449960688812,0.004016396269143478
Contrastive,sweep2d_gemma_L2_Gender__Lisp_fineweb_60deg.pkl,2.1539425695157663,0.005757042198817702,-0.045812047504179464,0.0056435393101264995
Contrastive,sweep2d_gemma_L2_Gender__Literary_fineweb_60deg.pkl,2.161915684332685,0.007372369585232051,-0.046664353201377004,0.007761888952789466
Contrastive,sweep2d_gemma_L2_Gender__Number_fineweb_60deg.pkl,2.218910174878525,0.006682137082110599,-0.0629151565217585,0.005306034733251484
Contrastive,sweep2d_gemma_L2_Gender__Person_fineweb_60deg.pkl,2.2044399552724556,0.009378562310889176,-0.059002128428599344,0.0094596505107438
Contrastive,sweep2d_gemma_L2_Gender__Portuguese_fineweb_60deg.pkl,2.5290138512305322,0.014168230016192903,-0.12113366034279854,0.019708651462658978
Contrastive,sweep2d_gemma_L2_Gender__Python_fineweb_60deg.pkl,2.142831258160506,0.0033034573279559338,-0.04131606231887743,0.003906022185899519
Contrastive,sweep2d_gemma_L2_Gender__Refusal_fineweb_60deg.pkl,2.3797575501932675,0.009440340515930198,-0.09490158869464914,0.013084541550207987
Contrastive,sweep2d_gemma_L2_Gender__Russian_fineweb_60deg.pkl,2.7396351885831844,0.010367276528190162,-0.15172742521181942,0.0188947344392933
Contrastive,sweep2d_gemma_L2_Gender__Rust_fineweb_60deg.pkl,2.3142096016074185,0.00933359860792821,-0.08163447472397009,0.01198390176367459
Contrastive,sweep2d_gemma_L2_Gender__Sentiment_fineweb_60deg.pkl,2.0767767836419644,0.011273073372112426,-0.022860730665520756,0.012057966836672136
Contrastive,sweep2d_gemma_L2_Gender__Spanish_fineweb_60deg.pkl,2.5159082593741813,0.010940149672688613,-0.11937359994720968,0.01602891010409243
Contrastive,sweep2d_gemma_L2_Gender__Status_fineweb_60deg.pkl,2.024302843417408,0.0034598106112126645,-0.007205544278535065,0.0035688722545868783
Contrastive,sweep2d_gemma_L2_Gender__Tense_fineweb_60deg.pkl,2.045974092374975,0.012146329504839532,-0.015841799853974985,0.012025581656932838
Contrastive,sweep2d_gemma_L2_Gender__TypeScript_fineweb_60deg.pkl,2.372874292474511,0.004845807952017542,-0.09331998989637084,0.00821609492409077
Contrastive,sweep2d_gemma_L2_Health__Age_fineweb_60deg.pkl,1.9387444156582558,0.008184707522936815,0.020508071665143124,0.007873565772277954
Contrastive,sweep2d_gemma_L2_Health__Chinese_fineweb_60deg.pkl,2.222079601598705,0.02519533251853481,-0.0694427824016304,0.025842077926844672
Contrastive,sweep2d_gemma_L2_Health__Cpp_fineweb_60deg.pkl,2.2969698765198734,0.006059986850450978,-0.07820294829082469,0.007729768940955019
Contrastive,sweep2d_gemma_L2_Health__Dutch_fineweb_60deg.pkl,1.8240296354204433,0.018286896225972578,0.06152129087744006,0.018092777726626683
Contrastive,sweep2d_gemma_L2_Health__Era_fineweb_60deg.pkl,1.9997274994169871,0.005869386327103788,-0.000916452478933506,0.005804808182247421
Contrastive,sweep2d_gemma_L2_Health__French_fineweb_60deg.pkl,1.855161326694796,0.02348952540187153,0.045833913897815465,0.023134672526225974
Contrastive,sweep2d_gemma_L2_Health__Gender_fineweb_60deg.pkl,2.187415712221628,0.007390702508480214,-0.05251700135474182,0.008213813479475439
Contrastive,sweep2d_gemma_L2_Health__German_fineweb_60deg.pkl,1.9447015821564881,0.014418687249847791,0.01687824808468782,0.014266960083904465
Contrastive,sweep2d_gemma_L2_Health__Go_fineweb_60deg.pkl,2.240854578771785,0.009125313728748282,-0.0665961234315653,0.009750827796896224
Contrastive,sweep2d_gemma_L2_Health__Haskell_fineweb_60deg.pkl,2.160929235395877,0.012033776221476325,-0.04793912567382783,0.012091170293855308
Contrastive,sweep2d_gemma_L2_Health__Italian_fineweb_60deg.pkl,1.9651074846236065,0.01807552018141373,0.008411643581260612,0.018042572232421547
Contrastive,sweep2d_gemma_L2_Health__Japanese_fineweb_60deg.pkl,2.3710020125914304,0.015263468552958907,-0.09515347879455209,0.017455721443492146
Contrastive,sweep2d_gemma_L2_Health__JavaScript_fineweb_60deg.pkl,2.251000310638019,0.009862722247421003,-0.06808225186637841,0.011461136252322464
Contrastive,sweep2d_gemma_L2_Health__Java_fineweb_60deg.pkl,2.234200934245321,0.01318440531883271,-0.06461452038884469,0.014620049135069835
Contrastive,sweep2d_gemma_L2_Health__Lisp_fineweb_60deg.pkl,2.336969925514025,0.005210223572756563,-0.0883058012994294,0.004731121160110879
Contrastive,sweep2d_gemma_L2_Health__Literary_fineweb_60deg.pkl,1.950759729592188,0.009692885090103333,0.01578543600789418,0.009409701105877265
Contrastive,sweep2d_gemma_L2_Health__Number_fineweb_60deg.pkl,1.7254342859473704,0.013216074393897612,0.10402609892000536,0.015639977800470165
Contrastive,sweep2d_gemma_L2_Health__Person_fineweb_60deg.pkl,2.0861155969275478,0.005854107884794571,-0.02510297324905237,0.0065680578246415265
Contrastive,sweep2d_gemma_L2_Health__Portuguese_fineweb_60deg.pkl,1.9911386611850348,0.02232517515684571,-0.0015229958936653432,0.022119329244732987
Contrastive,sweep2d_gemma_L2_Health__Python_fineweb_60deg.pkl,2.2171077471240204,0.006432184846571077,-0.0602034636715155,0.007428655729149657
Contrastive,sweep2d_gemma_L2_Health__Russian_fineweb_60deg.pkl,2.387342438205584,0.021207051500294317,-0.10005019879639486,0.022966813395986947
Contrastive,sweep2d_gemma_L2_Health__Rust_fineweb_60deg.pkl,2.182761694610248,0.008841035261107277,-0.051675033688564145,0.00941537347092982
Contrastive,sweep2d_gemma_L2_Health__Spanish_fineweb_60deg.pkl,1.997901329627205,0.023002682142620263,-0.004232187745707999,0.022750477516476443
Contrastive,sweep2d_gemma_L2_Health__Status_fineweb_60deg.pkl,2.0209430163347912,0.003916286907579936,-0.00624398960002747,0.004044487321454868
Contrastive,sweep2d_gemma_L2_Health__Tense_fineweb_60deg.pkl,2.0731118023662516,0.00608634926727711,-0.024498935748799043,0.005203124766349489
Contrastive,sweep2d_gemma_L2_Health__TypeScript_fineweb_60deg.pkl,2.199366355542383,0.011382457221281669,-0.056690941025164344,0.011943434894546464
Contrastive,sweep2d_gemma_L2_Honesty__Chinese_fineweb_60deg.pkl,2.6004313470072677,0.025921615737742078,-0.1395336957638802,0.027649063409629016
Contrastive,sweep2d_gemma_L2_Honesty__Dutch_fineweb_60deg.pkl,2.492482325427178,0.016386218984622888,-0.1195576587413914,0.018211493884124914
Contrastive,sweep2d_gemma_L2_Honesty__French_fineweb_60deg.pkl,2.1908709931732315,0.01904705374448607,-0.05632486845104679,0.019461997812751992
Contrastive,sweep2d_gemma_L2_Honesty__German_fineweb_60deg.pkl,2.452047224024145,0.015464143193328903,-0.11137021698986493,0.016616371521123306
Contrastive,sweep2d_gemma_L2_Honesty__Go_fineweb_60deg.pkl,2.4730586810223376,0.010081643920961673,-0.11474633386787948,0.010610059583961088
Contrastive,sweep2d_gemma_L2_Honesty__Italian_fineweb_60deg.pkl,2.286681757883754,0.012732111065762748,-0.07648480189725756,0.014100784119522411
Contrastive,sweep2d_gemma_L2_Honesty__Literary_fineweb_60deg.pkl,2.211236396134569,0.017935226870770305,-0.06250072696217109,0.01808775449987333
Contrastive,sweep2d_gemma_L2_Honesty__Portuguese_fineweb_60deg.pkl,2.342511457358696,0.014812763760797291,-0.08885277640588327,0.015813249054695142
Contrastive,sweep2d_gemma_L2_Honesty__Python_fineweb_60deg.pkl,2.2544896607715295,0.01412978820667248,-0.07231252703062914,0.014136579041881167
Contrastive,sweep2d_gemma_L2_Honesty__Rust_fineweb_60deg.pkl,2.5836659566375437,0.00407128680462166,-0.13252494435643264,0.005208343260024777
Contrastive,sweep2d_gemma_L2_Honesty__Spanish_fineweb_60deg.pkl,2.3178104516201645,0.015087656847748179,-0.08410301103285092,0.017058388650666414
Contrastive,sweep2d_gemma_L2_Honesty__TypeScript_fineweb_60deg.pkl,2.4663796638621043,0.008684881883039794,-0.11282474418775801,0.010186193887251449
Contrastive,sweep2d_gemma_L2_Literary__Chinese_fineweb_60deg.pkl,2.9144596401119274,0.021955825929525153,-0.18400230538264606,0.02151577564869862
Contrastive,sweep2d_gemma_L2_Literary__Dutch_fineweb_60deg.pkl,2.5274240665750507,0.009754880936426586,-0.11992686111733206,0.01540965097861311
Contrastive,sweep2d_gemma_L2_Literary__French_fineweb_60deg.pkl,2.656939925701242,0.013783117188583468,-0.14184348367704136,0.01928915480646734
Contrastive,sweep2d_gemma_L2_Literary__German_fineweb_60deg.pkl,2.7147272468129118,0.014229383082517985,-0.15213890139044256,0.014699767550728687
Contrastive,sweep2d_gemma_L2_Literary__Italian_fineweb_60deg.pkl,2.9583370304869363,0.00815759634788596,-0.17841813764183537,0.016408087119638228
Contrastive,sweep2d_gemma_L2_Literary__Japanese_fineweb_60deg.pkl,2.602063172222787,0.02081890062950475,-0.1373122963533493,0.02163653865782248
Contrastive,sweep2d_gemma_L2_Literary__Portuguese_fineweb_60deg.pkl,2.7636364169699,0.01434584693482914,-0.15662011083367727,0.020870725990166206
Contrastive,sweep2d_gemma_L2_Literary__Russian_fineweb_60deg.pkl,2.9395480547160653,0.013249671488615328,-0.17655076901444083,0.0223226122100751
Contrastive,sweep2d_gemma_L2_Literary__Spanish_fineweb_60deg.pkl,2.9530634342300175,0.013356689813467545,-0.17826211827561927,0.02279123109390729
Contrastive,sweep2d_gemma_L2_Number__Arabic_fineweb_60deg.pkl,3.5948914705135544,0.020847645647616566,-0.24739713980256606,0.021341248521239295
Contrastive,sweep2d_gemma_L2_Number__Chinese_fineweb_60deg.pkl,3.6731760232998814,0.019670073403930514,-0.2564602455406205,0.012815640816130028
Contrastive,sweep2d_gemma_L2_Number__Cpp_fineweb_60deg.pkl,2.1308647336596906,0.014409167147219336,-0.04523845795740234,0.012443533799705198
Contrastive,sweep2d_gemma_L2_Number__Dutch_fineweb_60deg.pkl,3.1350222174748077,0.006043221759129603,-0.19889150060596833,0.011938740506403086
Contrastive,sweep2d_gemma_L2_Number__French_fineweb_60deg.pkl,2.778371668413519,0.010172856209403964,-0.16217945981478535,0.012053944822973742
Contrastive,sweep2d_gemma_L2_Number__German_fineweb_60deg.pkl,2.5952068041938583,0.006713407249044401,-0.13166584671279238,0.012186889593534984
Contrastive,sweep2d_gemma_L2_Number__Go_fineweb_60deg.pkl,2.2352464370357525,0.011026063827092885,-0.0688291741641891,0.009211335324099698
Contrastive,sweep2d_gemma_L2_Number__Haskell_fineweb_60deg.pkl,2.2643057652578875,0.00929231866481925,-0.07543823835907823,0.007019137655257446
Contrastive,sweep2d_gemma_L2_Number__Honesty_fineweb_60deg.pkl,2.079381931584907,0.0178371572768134,-0.031484559176972876,0.01689974220468937
Contrastive,sweep2d_gemma_L2_Number__Italian_fineweb_60deg.pkl,2.736941817982498,0.01549629709888115,-0.15595881364977313,0.018907732517587466
Contrastive,sweep2d_gemma_L2_Number__Japanese_fineweb_60deg.pkl,3.8060217042864144,0.01526424136668065,-0.25731332541625024,0.01448889456074866
Contrastive,sweep2d_gemma_L2_Number__JavaScript_fineweb_60deg.pkl,2.272063682988599,0.013016499936220458,-0.07850894069795816,0.010549779422388864
Contrastive,sweep2d_gemma_L2_Number__Java_fineweb_60deg.pkl,2.238307935260416,0.011926038456106812,-0.07002877592200461,0.0097274447687376
Contrastive,sweep2d_gemma_L2_Number__Lisp_fineweb_60deg.pkl,2.14259651511178,0.013287668771172215,-0.04667803327910188,0.011924803730557185
Contrastive,sweep2d_gemma_L2_Number__Literary_fineweb_60deg.pkl,2.8172070327190664,0.009577195329112298,-0.16851479595754124,0.004407190286998541
Contrastive,sweep2d_gemma_L2_Number__Portuguese_fineweb_60deg.pkl,3.165024149637666,0.016730011173743366,-0.20747709509808238,0.01963120843650815
Contrastive,sweep2d_gemma_L2_Number__Python_fineweb_60deg.pkl,2.2056209539076588,0.010283420726342266,-0.06208314825304915,0.007805065096032222
Contrastive,sweep2d_gemma_L2_Number__Refusal_fineweb_60deg.pkl,2.0488933437610504,0.007576830617265704,-0.018116148712630824,0.007108049287202169
Contrastive,sweep2d_gemma_L2_Number__Russian_fineweb_60deg.pkl,3.371976023883356,0.017369675905357793,-0.2293398046079694,0.013123347270903082
Contrastive,sweep2d_gemma_L2_Number__Rust_fineweb_60deg.pkl,2.217448475939564,0.012322366265849172,-0.06564350706648506,0.009614527284092648
Contrastive,sweep2d_gemma_L2_Number__Spanish_fineweb_60deg.pkl,3.0595255010620375,0.023582677651335437,-0.20159569143755302,0.024994840104230278
Contrastive,sweep2d_gemma_L2_Number__Status_fineweb_60deg.pkl,1.9491385801888788,0.014563997621265094,0.01164193438898788,0.014520951843339035
Contrastive,sweep2d_gemma_L2_Number__TypeScript_fineweb_60deg.pkl,2.2353477135818443,0.008492064584393328,-0.06786367263743062,0.0065882615779127955
Contrastive,sweep2d_gemma_L2_Person__Arabic_fineweb_60deg.pkl,2.6339797304338934,0.024893447120782203,-0.14636871350177794,0.02639196181294921
Contrastive,sweep2d_gemma_L2_Person__Chinese_fineweb_60deg.pkl,2.5940196475620216,0.02322777961316886,-0.13729348581750664,0.026542904391958992
Contrastive,sweep2d_gemma_L2_Person__Cpp_fineweb_60deg.pkl,2.4071947048774684,0.0030987643449907386,-0.10026238987463573,0.0066160077731881655
